"COU","Country","IND","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"DEU","Germany","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2015","2015",58,,
"DEU","Germany","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2016","2016",58,,
"DEU","Germany","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2017","2017",58,,
"DEU","Germany","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2018","2018",58,,
"DEU","Germany","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2014","2014",8.7,,
"DEU","Germany","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2015","2015",8.7,,
"DEU","Germany","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2016","2016",8.7,,
"DEU","Germany","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2017","2017",8.7,,
"DEU","Germany","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2018","2018",8.7,,
"GRC","Greece","CWB1A","Children (0-17) living with two parents (%)","2014","2014",91.7,,
"GRC","Greece","CWB1A","Children (0-17) living with two parents (%)","2015","2015",91.6,,
"GRC","Greece","CWB1A","Children (0-17) living with two parents (%)","2016","2016",91.5,,
"GRC","Greece","CWB1A","Children (0-17) living with two parents (%)","2017","2017",91.9,,
"GRC","Greece","CWB1A","Children (0-17) living with two parents (%)","2018","2018",92.1,,
"GRC","Greece","CWB1B","Children (0-17) living with a single parent (%)","2014","2014",7.9,,
"GRC","Greece","CWB1B","Children (0-17) living with a single parent (%)","2015","2015",8.1,,
"GRC","Greece","CWB1B","Children (0-17) living with a single parent (%)","2016","2016",8,,
"GRC","Greece","CWB1B","Children (0-17) living with a single parent (%)","2017","2017",7.6,,
"GRC","Greece","CWB1B","Children (0-17) living with a single parent (%)","2018","2018",7.4,,
"GRC","Greece","CWB1C","Children (0-17) living in 'other' types of household (%)","2014","2014",0.4,,
"GRC","Greece","CWB1C","Children (0-17) living in 'other' types of household (%)","2015","2015",0.3,,
"GRC","Greece","CWB1C","Children (0-17) living in 'other' types of household (%)","2016","2016",0.5,,
"GRC","Greece","CWB1C","Children (0-17) living in 'other' types of household (%)","2017","2017",0.5,,
"GRC","Greece","CWB1C","Children (0-17) living in 'other' types of household (%)","2018","2018",0.5,,
"GRC","Greece","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2014","2014",41.7,,
"GRC","Greece","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2015","2015",43.9,,
"GRC","Greece","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2016","2016",46.7,,
"GRC","Greece","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2017","2017",48.3,,
"GRC","Greece","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2018","2018",49.9,,
"GRC","Greece","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2014","2014",47.4,,
"GRC","Greece","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2015","2015",45.2,,
"GRC","Greece","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2016","2016",43.2,,
"GRC","Greece","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2017","2017",43.1,,
"GRC","Greece","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2018","2018",42.2,,
"GRC","Greece","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2014","2014",10.8,,
"GRC","Greece","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2015","2015",11,,
"GRC","Greece","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2016","2016",10,,
"GRC","Greece","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2017","2017",8.6,,
"GRC","Greece","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2018","2018",7.9,,
"GRC","Greece","CWB8A","Adolescents (15-year-olds) who report talking to their parents before or after school (%)","2015","2015",96.2,,
"GRC","Greece","CWB9","Children (0-17) in overcrowded households (%)","2014","2014",32.7,,
"GRC","Greece","CWB9","Children (0-17) in overcrowded households (%)","2015","2015",34.1,,
"GRC","Greece","CWB9","Children (0-17) in overcrowded households (%)","2016","2016",37.4,,
"GRC","Greece","CWB9","Children (0-17) in overcrowded households (%)","2017","2017",38.4,,
"GRC","Greece","CWB16","Adolescents (15-year-olds) skipping either breakfast or dinner (%)","2015","2015",24.4,,
"GRC","Greece","CWB17A","Adolescents (15-year-olds) who report doing no physical activity outside of school (%)","2015","2015",7.9,,
"GRC","Greece","CWB17B","Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%)","2015","2015",50.8,,
"GRC","Greece","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2014","2014",71,,
"GRC","Greece","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2015","2015",63,,
"GRC","Greece","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2016","2016",63.1,,
"GRC","Greece","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2017","2017",65.3,,
"GRC","Greece","CWB27","Adolescents (15-year-olds) with parents interested in and supportive of their education (%)","2015","2015",90,,
"GRC","Greece","CWB29","Adolescents (15-year-olds) who want top grades at school (%)","2015","2015",72.9,,
"GRC","Greece","CWB31","Adolescents (15-year-olds) who expect to complete a university degree (%)","2015","2015",66.3,,
"GRC","Greece","CWB32","Adolescents (15-year-olds) who feel like they belong in school (%)","2015","2015",83,,
"GRC","Greece","CWB35A","Reading performance at age 15 (PISA)","2015","2015",467,,
"GRC","Greece","CWB35B","Mathematics performance at age 15 (PISA)","2015","2015",453.6,,
"GRC","Greece","CWB40","Adolescents (15-year-olds) who are high or extreme internet users (%)","2015","2015",52.6,,
"GRC","Greece","CWB40","Adolescents (15-year-olds) who are high or extreme internet users (%)","2018","2018",64.8,,
"GRC","Greece","CWB42","Adolescents (15-year-olds) who do unpaid work in the home, before or after school (%) ","2015","2015",68.3,,
"GRC","Greece","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",26.2,,
"GRC","Greece","CWB44B","Adolescents (15-year-olds) reporting low life satisfaction (%)","2015","2015",14.7,,
"GRC","Greece","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2014","2014",43,,
"GRC","Greece","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2015","2015",43,,
"GRC","Greece","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2016","2016",43,,
"GRC","Greece","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2017","2017",43,,
"GRC","Greece","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2018","2018",43,,
"GRC","Greece","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2014","2014",0.4,,
"GRC","Greece","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2015","2015",0.4,,
"GRC","Greece","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2016","2016",0.4,,
"GRC","Greece","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2017","2017",0.4,,
"GRC","Greece","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2018","2018",0.4,,
"HUN","Hungary","CWB1A","Children (0-17) living with two parents (%)","2014","2014",78,,
"HUN","Hungary","CWB1A","Children (0-17) living with two parents (%)","2015","2015",76.3,,
"HUN","Hungary","CWB1A","Children (0-17) living with two parents (%)","2016","2016",75.8,,
"HUN","Hungary","CWB1A","Children (0-17) living with two parents (%)","2017","2017",77.8,,
"HUN","Hungary","CWB1B","Children (0-17) living with a single parent (%)","2014","2014",20.6,,
"HUN","Hungary","CWB1B","Children (0-17) living with a single parent (%)","2015","2015",22.5,,
"HUN","Hungary","CWB1B","Children (0-17) living with a single parent (%)","2016","2016",21.9,,
"HUN","Hungary","CWB1B","Children (0-17) living with a single parent (%)","2017","2017",20.8,,
"HUN","Hungary","CWB1C","Children (0-17) living in 'other' types of household (%)","2014","2014",1.5,,
"HUN","Hungary","CWB1C","Children (0-17) living in 'other' types of household (%)","2015","2015",1.1,,
"HUN","Hungary","CWB1C","Children (0-17) living in 'other' types of household (%)","2016","2016",2.3,,
"HUN","Hungary","CWB1C","Children (0-17) living in 'other' types of household (%)","2017","2017",1.4,,
"HUN","Hungary","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2014","2014",45.2,,
"HUN","Hungary","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2015","2015",46.1,,
"HUN","Hungary","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2016","2016",47.2,,
"HUN","Hungary","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2017","2017",49.9,,
"HUN","Hungary","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2018","2018",50.1,,
"HUN","Hungary","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2014","2014",43.7,,
"HUN","Hungary","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2015","2015",44.5,,
"HUN","Hungary","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2016","2016",44.2,,
"HUN","Hungary","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2017","2017",42.5,,
"HUN","Hungary","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2018","2018",43.6,,
"HUN","Hungary","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2014","2014",11.1,,
"HUN","Hungary","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2015","2015",9.3,,
"HUN","Hungary","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2016","2016",8.6,,
"HUN","Hungary","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2017","2017",7.7,,
"HUN","Hungary","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2018","2018",6.4,,
"HUN","Hungary","CWB8A","Adolescents (15-year-olds) who report talking to their parents before or after school (%)","2015","2015",96,,
"HUN","Hungary","CWB9","Children (0-17) in overcrowded households (%)","2014","2014",64.3,,
"HUN","Hungary","CWB9","Children (0-17) in overcrowded households (%)","2015","2015",62.6,,
"HUN","Hungary","CWB9","Children (0-17) in overcrowded households (%)","2016","2016",62,,
"HUN","Hungary","CWB9","Children (0-17) in overcrowded households (%)","2017","2017",62.8,,
"HUN","Hungary","CWB16","Adolescents (15-year-olds) skipping either breakfast or dinner (%)","2015","2015",34.1,,
"HUN","Hungary","CWB17A","Adolescents (15-year-olds) who report doing no physical activity outside of school (%)","2015","2015",4.7,,
"HUN","Hungary","CWB17B","Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%)","2015","2015",58.2,,
"HUN","Hungary","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2014","2014",89.7,,
"HUN","Hungary","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2015","2015",90.8,,
"HUN","Hungary","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2016","2016",92.1,,
"HUN","Hungary","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2017","2017",92,,
"HUN","Hungary","CWB27","Adolescents (15-year-olds) with parents interested in and supportive of their education (%)","2015","2015",92.4,,
"HUN","Hungary","CWB29","Adolescents (15-year-olds) who want top grades at school (%)","2015","2015",76.3,,
"HUN","Hungary","CWB31","Adolescents (15-year-olds) who expect to complete a university degree (%)","2015","2015",35.5,,
"HUN","Hungary","CWB32","Adolescents (15-year-olds) who feel like they belong in school (%)","2015","2015",74.5,,
"HUN","Hungary","CWB35A","Reading performance at age 15 (PISA)","2015","2015",469.5,,
"HUN","Hungary","CWB35B","Mathematics performance at age 15 (PISA)","2015","2015",476.8,,
"HUN","Hungary","CWB40","Adolescents (15-year-olds) who are high or extreme internet users (%)","2015","2015",63.4,,
"HUN","Hungary","CWB40","Adolescents (15-year-olds) who are high or extreme internet users (%)","2018","2018",71.8,,
"HUN","Hungary","CWB42","Adolescents (15-year-olds) who do unpaid work in the home, before or after school (%) ","2015","2015",73.5,,
"HUN","Hungary","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",31.7,,
"HUN","Hungary","CWB44B","Adolescents (15-year-olds) reporting low life satisfaction (%)","2015","2015",13.1,,
"HUN","Hungary","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2014","2014",160,,
"HUN","Hungary","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2015","2015",160,,
"HUN","Hungary","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2016","2016",160,,
"HUN","Hungary","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2017","2017",160,,
"HUN","Hungary","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2018","2018",160,,
"HUN","Hungary","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2014","2014",1,,
"HUN","Hungary","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2015","2015",1,,
"HUN","Hungary","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2016","2016",1,,
"HUN","Hungary","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2017","2017",1,,
"HUN","Hungary","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2018","2018",1,,
"ISL","Iceland","CWB1A","Children (0-17) living with two parents (%)","2014","2014",79.1,,
"ISL","Iceland","CWB1A","Children (0-17) living with two parents (%)","2015","2015",80.5,,
"ISL","Iceland","CWB1A","Children (0-17) living with two parents (%)","2016","2016",81.8,,
"ISL","Iceland","CWB1B","Children (0-17) living with a single parent (%)","2014","2014",19.6,,
"ISL","Iceland","CWB1B","Children (0-17) living with a single parent (%)","2015","2015",18.6,,
"ISL","Iceland","CWB1B","Children (0-17) living with a single parent (%)","2016","2016",17.9,,
"ISL","Iceland","CWB1C","Children (0-17) living in 'other' types of household (%)","2014","2014",1.3,,
"ISL","Iceland","CWB1C","Children (0-17) living in 'other' types of household (%)","2015","2015",0.9,,
"ISL","Iceland","CWB1C","Children (0-17) living in 'other' types of household (%)","2016","2016",0.4,,
"ISL","Iceland","CWB8A","Adolescents (15-year-olds) who report talking to their parents before or after school (%)","2015","2015",98.5,,
"ISL","Iceland","CWB9","Children (0-17) in overcrowded households (%)","2014","2014",10.5,,
"ISL","Iceland","CWB9","Children (0-17) in overcrowded households (%)","2015","2015",11.7,,
"ISL","Iceland","CWB16","Adolescents (15-year-olds) skipping either breakfast or dinner (%)","2015","2015",21.4,,
"ISL","Iceland","CWB17A","Adolescents (15-year-olds) who report doing no physical activity outside of school (%)","2015","2015",5,,
"ISL","Iceland","CWB17B","Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%)","2015","2015",70.2,,
"ISL","Iceland","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2014","2014",96.6,,
"ISL","Iceland","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2015","2015",97.2,,
"ISL","Iceland","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2016","2016",97,,
"ISL","Iceland","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2017","2017",97.4,,
"ISL","Iceland","CWB27","Adolescents (15-year-olds) with parents interested in and supportive of their education (%)","2015","2015",92.4,,
"ISL","Iceland","CWB29","Adolescents (15-year-olds) who want top grades at school (%)","2015","2015",96.2,,
"ISL","Iceland","CWB31","Adolescents (15-year-olds) who expect to complete a university degree (%)","2015","2015",38.9,,
"ISL","Iceland","CWB32","Adolescents (15-year-olds) who feel like they belong in school (%)","2015","2015",78.5,,
"ISL","Iceland","CWB35A","Reading performance at age 15 (PISA)","2015","2015",481.5,,
"ISL","Iceland","CWB35B","Mathematics performance at age 15 (PISA)","2015","2015",488,,
"ISL","Iceland","CWB40","Adolescents (15-year-olds) who are high or extreme internet users (%)","2015","2015",62.8,,
"ISL","Iceland","CWB40","Adolescents (15-year-olds) who are high or extreme internet users (%)","2018","2018",74,,
"ISL","Iceland","CWB42","Adolescents (15-year-olds) who do unpaid work in the home, before or after school (%) ","2015","2015",81.5,,
"ISL","Iceland","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",46.7,,
"ISL","Iceland","CWB44B","Adolescents (15-year-olds) reporting low life satisfaction (%)","2015","2015",9.5,,
"ISL","Iceland","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2014","2014",26,,
"ISL","Iceland","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2015","2015",26,,
"ISL","Iceland","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2016","2016",26,,
"ISL","Iceland","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2017","2017",26,,
"ISL","Iceland","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2018","2018",26,,
"ISL","Iceland","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2014","2014",13,,
"ISL","Iceland","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2015","2015",13,,
"ISL","Iceland","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2016","2016",13,,
"ISL","Iceland","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2017","2017",13,,
"ISL","Iceland","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2018","2018",13,,
"IRL","Ireland","CWB1A","Children (0-17) living with two parents (%)","2014","2014",81.4,,
"IRL","Ireland","CWB1A","Children (0-17) living with two parents (%)","2015","2015",82.1,,
"IRL","Ireland","CWB1A","Children (0-17) living with two parents (%)","2016","2016",80.7,,
"IRL","Ireland","CWB1A","Children (0-17) living with two parents (%)","2017","2017",78.1,,
"IRL","Ireland","CWB1B","Children (0-17) living with a single parent (%)","2014","2014",18.5,,
"IRL","Ireland","CWB1B","Children (0-17) living with a single parent (%)","2015","2015",17.8,,
"IRL","Ireland","CWB1B","Children (0-17) living with a single parent (%)","2016","2016",19.1,,
"IRL","Ireland","CWB1B","Children (0-17) living with a single parent (%)","2017","2017",21.2,,
"IRL","Ireland","CWB1C","Children (0-17) living in 'other' types of household (%)","2014","2014",0.1,,
"IRL","Ireland","CWB1C","Children (0-17) living in 'other' types of household (%)","2015","2015",0.1,,
"IRL","Ireland","CWB1C","Children (0-17) living in 'other' types of household (%)","2016","2016",0.2,,
"IRL","Ireland","CWB1C","Children (0-17) living in 'other' types of household (%)","2017","2017",0.7,,
"IRL","Ireland","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2014","2014",50.7,,
"IRL","Ireland","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2015","2015",52.7,,
"IRL","Ireland","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2016","2016",54.8,,
"IRL","Ireland","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2017","2017",57.7,,
"IRL","Ireland","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2018","2018",59.8,,
"IRL","Ireland","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2014","2014",33.3,,
"IRL","Ireland","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2015","2015",32.9,,
"IRL","Ireland","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2016","2016",31.8,,
"IRL","Ireland","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2017","2017",30.4,,
"IRL","Ireland","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2018","2018",28.7,,
"IRL","Ireland","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2014","2014",16,,
"IRL","Ireland","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2015","2015",14.4,,
"IRL","Ireland","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2016","2016",13.4,,
"IRL","Ireland","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2017","2017",11.9,,
"IRL","Ireland","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2018","2018",11.5,,
"IRL","Ireland","CWB8A","Adolescents (15-year-olds) who report talking to their parents before or after school (%)","2015","2015",97.8,,
"IRL","Ireland","CWB8B","Adolescents (15-year-olds) whose parents report spending time ""just talking to my child"" every day or almost every day (%)","2015","2015",80.9,,
"IRL","Ireland","CWB9","Children (0-17) in overcrowded households (%)","2014","2014",4.1,,
"IRL","Ireland","CWB9","Children (0-17) in overcrowded households (%)","2015","2015",4.6,,
"IRL","Ireland","CWB9","Children (0-17) in overcrowded households (%)","2016","2016",4.5,,
"IRL","Ireland","CWB9","Children (0-17) in overcrowded households (%)","2017","2017",4.1,,
"IRL","Ireland","CWB16","Adolescents (15-year-olds) skipping either breakfast or dinner (%)","2015","2015",17.5,,
"IRL","Ireland","CWB17A","Adolescents (15-year-olds) who report doing no physical activity outside of school (%)","2015","2015",5,,
"IRL","Ireland","CWB17B","Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%)","2015","2015",56.9,,
"IRL","Ireland","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2014","2014",82.9,,
"IRL","Ireland","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2015","2015",78.7,,
"IRL","Ireland","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2016","2016",83.8,,
"IRL","Ireland","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2017","2017",98.4,,
"IRL","Ireland","CWB27","Adolescents (15-year-olds) with parents interested in and supportive of their education (%)","2015","2015",94.9,,
"IRL","Ireland","CWB29","Adolescents (15-year-olds) who want top grades at school (%)","2015","2015",92.7,,
"IRL","Ireland","CWB31","Adolescents (15-year-olds) who expect to complete a university degree (%)","2015","2015",46.3,,
"IRL","Ireland","CWB32","Adolescents (15-year-olds) who feel like they belong in school (%)","2015","2015",73.3,,
"IRL","Ireland","CWB35A","Reading performance at age 15 (PISA)","2015","2015",520.8,,
"IRL","Ireland","CWB35B","Mathematics performance at age 15 (PISA)","2015","2015",503.7,,
"IRL","Ireland","CWB40","Adolescents (15-year-olds) who are high or extreme internet users (%)","2015","2015",61.1,,
"IRL","Ireland","CWB40","Adolescents (15-year-olds) who are high or extreme internet users (%)","2018","2018",74.8,,
"IRL","Ireland","CWB42","Adolescents (15-year-olds) who do unpaid work in the home, before or after school (%) ","2015","2015",68.9,,
"IRL","Ireland","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",32.4,,
"IRL","Ireland","CWB44B","Adolescents (15-year-olds) reporting low life satisfaction (%)","2015","2015",11.9,,
"IRL","Ireland","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2014","2014",26,,
"IRL","Ireland","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2015","2015",26,,
"IRL","Ireland","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2016","2016",26,,
"IRL","Ireland","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2017","2017",26,,
"IRL","Ireland","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2018","2018",26,,
"IRL","Ireland","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2014","2014",0,,
"IRL","Ireland","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2015","2015",0,,
"IRL","Ireland","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2016","2016",0,,
"IRL","Ireland","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2017","2017",2,,
"IRL","Ireland","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2018","2018",2,,
"ITA","Italy","CWB1A","Children (0-17) living with two parents (%)","2014","2014",86.6,,
"ITA","Italy","CWB1A","Children (0-17) living with two parents (%)","2015","2015",87.4,,
"ITA","Italy","CWB1A","Children (0-17) living with two parents (%)","2016","2016",87.1,,
"ITA","Italy","CWB1A","Children (0-17) living with two parents (%)","2017","2017",85.4,,
"ITA","Italy","CWB1A","Children (0-17) living with two parents (%)","2018","2018",85.1,,
"ITA","Italy","CWB1B","Children (0-17) living with a single parent (%)","2014","2014",12.8,,
"ITA","Italy","CWB1B","Children (0-17) living with a single parent (%)","2015","2015",12.4,,
"ITA","Italy","CWB1B","Children (0-17) living with a single parent (%)","2016","2016",12.8,,
"ITA","Italy","CWB1B","Children (0-17) living with a single parent (%)","2017","2017",14.5,,
"ITA","Italy","CWB1B","Children (0-17) living with a single parent (%)","2018","2018",14.7,,
"ITA","Italy","CWB1C","Children (0-17) living in 'other' types of household (%)","2014","2014",0.6,,
"ITA","Italy","CWB1C","Children (0-17) living in 'other' types of household (%)","2015","2015",0.2,,
"ITA","Italy","CWB1C","Children (0-17) living in 'other' types of household (%)","2016","2016",0.1,,
"ITA","Italy","CWB1C","Children (0-17) living in 'other' types of household (%)","2017","2017",0.1,,
"ITA","Italy","CWB1C","Children (0-17) living in 'other' types of household (%)","2018","2018",0.1,,
"ITA","Italy","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2014","2014",46.5,,
"ITA","Italy","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2015","2015",47,,
"ITA","Italy","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2016","2016",47.5,,
"ITA","Italy","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2017","2017",48.5,,
"ITA","Italy","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2018","2018",49,,
"ITA","Italy","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2014","2014",43,,
"ITA","Italy","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2015","2015",42.5,,
"ITA","Italy","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2016","2016",42.5,,
"ITA","Italy","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2017","2017",42.2,,
"ITA","Italy","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2018","2018",42,,
"ITA","Italy","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2014","2014",10.5,,
"ITA","Italy","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2015","2015",10.5,,
"ITA","Italy","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2016","2016",10.1,,
"ITA","Italy","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2017","2017",9.2,,
"ITA","Italy","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2018","2018",8.9,,
"ITA","Italy","CWB8A","Adolescents (15-year-olds) who report talking to their parents before or after school (%)","2015","2015",96.9,,
"ITA","Italy","CWB8B","Adolescents (15-year-olds) whose parents report spending time ""just talking to my child"" every day or almost every day (%)","2015","2015",77.1,,
"ITA","Italy","CWB9","Children (0-17) in overcrowded households (%)","2014","2014",39.7,,
"ITA","Italy","CWB9","Children (0-17) in overcrowded households (%)","2015","2015",40.8,,
"ITA","Italy","CWB9","Children (0-17) in overcrowded households (%)","2016","2016",41,,
"ITA","Italy","CWB9","Children (0-17) in overcrowded households (%)","2017","2017",41.3,,
"ITA","Italy","CWB16","Adolescents (15-year-olds) skipping either breakfast or dinner (%)","2015","2015",38,,
"ITA","Italy","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2014","2014",95.1,,
"ITA","Italy","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2015","2015",94.9,,
